apk_path,label,complexity_score,analysis_time,permissions_count,native_code_count,obfuscated_strings_count,dynamic_code_use_count,apk_entropy,code_length,file_size,file_hash,first_submission_date
./AndroidAPKSamples/Malware/SMS Malware/Jifake/3fd5a098f2b8e5a147fbca1f4b8b8f22.apk,malware,0.9632550297688683,0.011958122253417969,21,0,0,0,2.510796596514183,216,0.021261215209960938,3e6d5238097d21e363f77be4179bc0b715648827e1a97909b700b0781a30195b,2011-09-15 22:08:02
./AndroidAPKSamples/Malware/SMS Malware/Jifake/3a8d580df0be5797e49c2d85aae25aae.apk,malware,1.1294641027321919,0.021502256393432617,2,0,1,0,2.550023634304074,1326,0.1210479736328125,ffdae5b124392d6c22806f1126487c219b360c444072ea62110edc16e109f5a4,2017-05-30 05:48:27
./AndroidAPKSamples/Malware/SMS Malware/Jifake/0c5b06142035314e25a062f04aaa1b00.apk,malware,0.9252247222384422,0.012579917907714844,2,0,0,0,2.267383057520286,745,0.09121513366699219,cc80ff2950ecb590de097479af0daaa6d5ee3cac37a47559606802e7d052eaff,2017-05-30 07:51:41
./AndroidAPKSamples/Malware/SMS Malware/Jifake/4aed54ec11434839b7d13b8a34c3b085.apk,malware,1.0497156451657732,0.007189035415649414,21,0,0,0,2.7263834639113007,272,0.024369239807128906,7e55d553392c637617744606a260cf56155903605054e789f190793e80a72f24,2011-10-30 18:50:39
./AndroidAPKSamples/Malware/SMS Malware/Jifake/4aff6ec54c15f95e75a453460fd744ff.apk,malware,3.3681143614045026,0.23492908477783203,21,0,60,0,3.456292605652078,714,0.1209268569946289,3bc47fb478b1bd3ddec3a76b39b7c26d57557c8d65082f3e18d077cb97a8c7e0,2017-06-25 04:58:58
./AndroidAPKSamples/Malware/SMS Malware/Jifake/0a6bd6d44fc7865847c5cc521be5edd0.apk,malware,1.04647776834715,0.007971048355102539,21,0,0,0,2.7178257629963722,272,0.018621444702148438,c67bb5a16171b7cbd4a341ad93de8e55e5cae1f90dc62e6eb8201bc969f4ff66,2011-10-28 19:25:42
./AndroidAPKSamples/Malware/SMS Malware/Jifake/0d35dc4a58697fc003531f7edbde9f9c.apk,malware,1.128924022889815,0.021424055099487305,2,0,1,0,2.5485875412641157,1326,0.12073898315429688,7b0bb3b099e1a849ac8efdfbcf96a375df719594603130ae3026d6aaeee52972,2013-08-13 16:45:06
./AndroidAPKSamples/Malware/SMS Malware/Jifake/4a920426e5ed54cce87c2cb30d4c88db.apk,malware,1.1878022215467265,0.02258777618408203,3,0,1,0,2.671275759024507,1459,0.03476238250732422,795e46e099116e968cc9bd4ebb29a87c56e5591d804403ae2f8b6a497dadcec0,2011-09-04 11:01:01
./AndroidAPKSamples/Malware/SMS Malware/Jifake/0f1553bddd194d6597a215c69326828b.apk,malware,3.022826666360869,0.23629117012023926,21,0,43,0,3.300642312383054,645,0.11715984344482422,a88bdbd2170e2e9d1e20d1276fbe8c5cea75746c651e9f77170ed5f5480be5a7,2012-02-06 18:25:35
./AndroidAPKSamples/Malware/SMS Malware/Jifake/1fa16f1bbcfa2f8254bbc9b59af14ec2.apk,malware,1.166608724046529,0.020079851150512695,24,0,2,0,2.7133516770065644,689,0.04036903381347656,fcc95edf50ebe161e24ad0c66bc90c78faccbb236656d4e5ec00c2b0576c1ae6,2016-02-12 11:18:22
